Pos: Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------
  1. The Brazilian Man               7 104 169  14  15  34
  2. Ivo                             7 104 152  14  16  24
  3. Miljenko                        7 104 152  13  20  20
  4. GargoyleBG                      7 104 147  11  17  26
  5. The Wielder of the Scythe       7 104 146  12  14  28
  6. Stephan                         7 104 145  13  17  21
  7. Steven                          7 104 139  13  15  21
  8. Nick the Greek                  7 104 139  13  13  24
  9. MiniMe                          7 104 139  12  13  26
 10. Marc Robbins                    7 104 136  13  10  27
 11. Hamish                          7 104 131  10  15  23
 12. Daniel Marsh                    7 104 131  10  11  29
 13. AGCM Oracle                     7 104 109   7   9  27
 14. Bam Bam                         5  80 106  12   6  20
 15. HCwest Pete Fella               6  96 100   6   8  26
 16. Eddy da Fisherman               5  80  91   6   7  23
 17. Klaa                            5  80  86   8   6  18
 18. MrT                             4  64  85   7   9  15
 19. Mr. Pink                        4  56  76  10   6   9
 20. Khamelion                       5  72  72   5   6  17
 21. Toby Briggs                     4  64  64   5   6  13
 22. Nes                             3  48  56   3   6  13
 23. Spankin                         2  32  46   3   6   8
 24. digitalMOSQUITO                 2  32  40   3   2  11
 25. Mark Goodge                     1  16  28   3   2   5
 26. rsstrnc                         2  24  23   1   5   2
 27. Joy Division                    1  16  22   3   0   5
 28. Henning Munk                    1  16  22   0   2   8
 29. Mikael Scholer                  1  16  19   1   1   6
 30. DannyM                          1  16  19   0   3   5
 31. Nick Marstin                    1   8   6   1   0   1
 32. Baroje                          1   8   0   0   0   0
