Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( - ) The Brazilian Man               9 116 190  15  18  38
  2. ( - ) Ivo                             9 116 176  16  18  29
  3. ( - ) Miljenko                        9 116 175  14  23  25
  4. ( +2) Stephan                         9 116 170  14  22  24
  5. ( +2) MiniMe                          9 116 166  14  16  31
  6. ( -1) GargoyleBG                      9 116 166  11  20  31
  7. ( +1) Nick the Greek                  9 116 162  16  14  28
  8. ( -4) The Wielder of the Scythe       9 116 161  12  17  31
  9. ( - ) Marc Robbins                    9 116 152  14  12  30
 10. ( +1) Daniel Marsh                    9 116 146  10  14  32
 11. ( -1) Hamish                          8 112 143  11  17  24
 12. ( - ) Steven                          7 104 139  13  15  21
 13. ( - ) AGCM Oracle                     9 116 120   7  10  31
 14. ( - ) Bam Bam                         5  80 106  12   6  20
 15. ( - ) HCwest Pete Fella               6  96 100   6   8  26
 16. ( - ) Eddy da Fisherman               5  80  91   6   7  23
 17. ( - ) Klaa                            5  80  86   8   6  18
 18. ( - ) MrT                             4  64  85   7   9  15
 19. ( - ) Khamelion                       7  84  83   5   9  18
 20. ( +1) Nes                             5  60  77   5   9  15
 21. ( -1) Mr. Pink                        4  56  76  10   6   9
 22. ( - ) Toby Briggs                     6  76  75   5   7  17
 23. ( - ) Spankin                         2  32  46   3   6   8
 24. ( - ) digitalMOSQUITO                 2  32  40   3   2  11
 25. ( - ) rsstrnc                         4  36  40   2   6   7
 26. ( - ) Mark Goodge                     1  16  28   3   2   5
 27. ( - ) Joy Division                    1  16  22   3   0   5
 28. ( - ) Henning Munk                    1  16  22   0   2   8
 29. ( +3) Baroje                          3  20  19   1   3   3
 30. ( -1) Mikael Scholer                  1  16  19   1   1   6
 31. ( -1) DannyM                          1  16  19   0   3   5
 32. ( +2) Hagen                           2  12  16   1   2   3
 33. ( - ) Nick Marstin                    3  20  15   1   1   4
 34. ( -3) Bom Bom                         1   8  14   1   2   2
