Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( - ) The Brazilian Man              10 120 196  15  20  38
  2. ( - ) Ivo                            10 120 176  16  18  29
  3. ( - ) Miljenko                       10 120 175  14  23  25
  4. ( - ) Stephan                        10 120 175  14  23  25
  5. ( +1) GargoyleBG                     10 120 168  11  20  32
  6. ( -1) MiniMe                         10 120 166  14  16  31
  7. ( - ) Nick the Greek                 10 120 165  16  15  28
  8. ( - ) The Wielder of the Scythe      10 120 161  12  17  31
  9. ( - ) Marc Robbins                   10 120 152  14  12  30
 10. ( - ) Daniel Marsh                   10 120 146  10  14  32
 11. ( - ) Hamish                          9 116 143  11  17  24
 12. ( - ) Steven                          7 104 139  13  15  21
 13. ( - ) AGCM Oracle                    10 120 122   7  10  32
 14. ( - ) Bam Bam                         5  80 106  12   6  20
 15. ( - ) HCwest Pete Fella               6  96 100   6   8  26
 16. ( - ) Eddy da Fisherman               5  80  91   6   7  23
 17. ( +2) Khamelion                       8  88  87   6   9  18
 18. ( -1) Klaa                            5  80  86   8   6  18
 19. ( -1) MrT                             4  64  85   7   9  15
 20. ( +2) Toby Briggs                     7  80  83   7   7  17
 21. ( -1) Nes                             6  64  82   5  10  16
 22. ( -1) Mr. Pink                        4  56  76  10   6   9
 23. ( - ) Spankin                         2  32  46   3   6   8
 24. ( +1) rsstrnc                         5  40  45   2   7   8
 25. ( -1) digitalMOSQUITO                 2  32  40   3   2  11
 26. ( - ) Mark Goodge                     1  16  28   3   2   5
 27. ( - ) Joy Division                    1  16  22   3   0   5
 28. ( - ) Henning Munk                    1  16  22   0   2   8
 29. ( - ) Baroje                          4  24  21   1   3   4
 30. ( - ) Mikael Scholer                  1  16  19   1   1   6
 31. ( - ) DannyM                          1  16  19   0   3   5
 32. ( +1) Nick Marstin                    4  24  18   1   2   4
 33. ( -1) Hagen                           3  16  16   1   2   3
 34. ( - ) Bom Bom                         1   8  14   1   2   2
