Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( - ) Pivotalgubbins                  6  60 116  14   6  21
  2. ( - ) Nick the Greek                  6  60 106   8  10  22
  3. ( - ) Miljenko                        6  60  96  12   4  18
  4. ( +1) Timofei Shatrov                 6  60  95   6   9  22
  5. ( -1) Eduardo Liguori                 6  60  94   5  10  22
  6. ( - ) Mark Goodge                     6  60  92   5  10  21
  7. ( - ) Diesel                          5  56  85  10   7  12
  8. ( - ) Hamish                          6  60  84   4  12  16
  9. ( - ) GargoyleBG                      6  60  71   7   5  14
 10. ( - ) AGCM Oracle                     6  60  60   2   4  20
 11. ( - ) Frank                           4  52  58   1   6  18
 12. ( - ) Millsy                          1  16  22   0   4   5
 13. ( - ) viktorkessler                   1  16  17   2   1   3
 14. ( - ) traveler                        1  16  17   1   1   5
