Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( - ) Steven                          4  64 102  10  14  10
  2. ( - ) Ivo                             4  64 101   8  13  15
  3. ( +8) The Brazilian Man               4  64  97   7   9  21
  4. ( - ) The Wielder of the Scythe       4  64  95   9   7  19
  5. ( +2) Nick the Greek                  4  64  93   8   9  17
  6. ( - ) Miljenko                        4  64  92   9   8  16
  7. ( +1) Klaa                            4  64  92   9   6  19
  8. ( -5) GargoyleBG                      4  64  92   5  12  18
  9. ( - ) Hamish                          4  64  90   7   8  19
 10. ( -5) MiniMe                          4  64  90   5  12  17
 11. ( +3) Marc Robbins                    4  64  83   7   7  17
 12. ( -2) Daniel Marsh                    4  64  83   4   9  20
 13. ( +2) Eddy da Fisherman               4  64  82   6   2  26
 14. ( -2) Bam Bam                         4  64  80   8   8  12
 15. ( -2) HCwest Pete Fella               4  64  78   5   6  20
 16. ( - ) Stephan                         4  64  77   8   5  15
 17. ( +1) Mr. Pink                        3  48  68   8   8   6
 18. ( +4) Khamelion                       3  48  60   5   6  11
 19. ( -2) MrT                             3  48  60   4   6  13
 20. ( - ) Toby Briggs                     4  64  55   4   5  12
 21. ( -2) AGCM Oracle                     4  64  49   3   3  14
 22. ( +2) digitalMOSQUITO                 2  32  42   4   4   7
 23. ( -2) DannyM                          2  32  42   1   4  13
 24. ( -1) Mark Goodge                     1  16  28   3   2   5
 25. ( - ) Henning Munk                    1  16  22   0   2   8
 26. (new) Nes                             1  16  10   0   2   2
