Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( +1) MiniMe                         13 125 163  12  19  29
  2. ( +1) Miljenko                       13 125 161  13  15  32
  3. ( -2) Nick the Greek                 13 125 161  12  19  28
  4. ( - ) Daniel Marsh                   13 125 157   9  19  32
  5. ( - ) Marc Robbins                   13 125 152  12  12  34
  6. ( - ) Hamish                         13 125 147  12  15  27
  7. ( +1) GargoyleBG                     13 125 146   9  18  28
  8. ( -1) The Wielder of the Scythe      13 125 145  12  13  29
  9. ( - ) Ivo                            13 125 144   7  18  31
 10. ( - ) Khamelion                      11 108 140  11  18  21
 11. ( - ) The Brazilian Man              13 125 139   8  17  28
 12. ( +1) Stephan                        13 125 134   8  12  33
 13. ( -1) AGCM Oracle                    13 125 131   6  13  34
 14. ( - ) Steven                          5  80 105  11  13  11
 15. ( - ) Klaa                            6  68  87   8   9  14
 16. ( - ) Mr. Pink                        5  72  86   8   8  15
 17. ( - ) rsstrnc                         8  57  77   5  11  12
 18. ( - ) Toby Briggs                     7  82  70   4   6  18
 19. ( - ) Nes                             7  70  66   8   6   8
 20. ( - ) HCwest Pete Fella               4  64  65   5   7  12
 21. ( - ) Bam Bam                         4  64  57   4   7  10
 22. ( - ) Eddy da Fisherman               3  48  56   3   4  16
 23. ( - ) Nick Marstin                    7  41  51   4   7   7
 24. ( - ) MrT                             2  32  40   2   6   7
 25. ( - ) Baroje                          6  35  40   2   4  10
 26. ( - ) Hagen                           6  25  29   2   3   6
 27. ( - ) Spankin                         2  32  25   1   1   9
 28. ( - ) DannyM                          1  16  23   1   1   8
 29. ( - ) digitalMOSQUITO                 1  16  20   1   4   2
 30. ( - ) Bom Bom                         1  16  19   2   1   4
 31. ( - ) Suhi                            1   8   7   0   1   2
 32. ( - ) ~#Bluebird#~                    2   3   6   1   0   1
 33. ( - ) Damian Wood                     2   4   2   0   0   1
