Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( - ) Pivotalgubbins                  5  56 114  14   6  20
  2. ( +1) Nick the Greek                  5  56  97   7   9  21
  3. ( -1) Miljenko                        5  56  94  12   4  17
  4. ( - ) Eduardo Liguori                 5  56  92   5  10  21
  5. ( - ) Timofei Shatrov                 5  56  90   6   8  21
  6. ( +1) Mark Goodge                     5  56  86   4  10  20
  7. ( -1) Diesel                          5  56  85  10   7  12
  8. ( - ) Hamish                          5  56  76   4  10  15
  9. ( - ) GargoyleBG                      5  56  71   7   5  14
 10. ( +1) AGCM Oracle                     5  56  60   2   4  20
 11. ( -1) Frank                           3  48  52   1   4  18
 12. ( - ) Millsy                          1  16  22   0   4   5
 13. ( - ) viktorkessler                   1  16  17   2   1   3
 14. ( - ) traveler                        1  16  17   1   1   5
