Pos: Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------
  1. Nick the Greek                  5  80 110   9  12  19
  2. Steven                          5  80 105  11  13  11
  3. Hamish                          5  80 104   7  14  17
  4. Daniel Marsh                    5  80 103   6  13  20
  5. Miljenko                        5  80 100  10   8  18
  6. MiniMe                          5  80  99   7  11  19
  7. Ivo                             5  80  96   5  12  20
  8. GargoyleBG                      5  80  95   5  13  18
  9. The Wielder of the Scythe       5  80  90   6   8  21
 10. Marc Robbins                    5  80  88   6   8  20
 11. Khamelion                       4  64  85   6  11  14
 12. The Brazilian Man               5  80  81   5   9  17
 13. Klaa                            4  64  80   8   8  12
 14. Mr. Pink                        4  64  78   7   8  13
 15. Stephan                         5  80  73   4   7  18
 16. AGCM Oracle                     5  80  73   3   7  20
 17. HCwest Pete Fella               4  64  65   5   7  12
 18. Bam Bam                         4  64  57   4   7  10
 19. Eddy da Fisherman               3  48  56   3   4  16
 20. Nes                             3  48  48   6   4   6
 21. MrT                             2  32  40   2   6   7
 22. Toby Briggs                     3  48  39   2   5   8
 23. rsstrnc                         1  16  30   3   4   3
 24. Spankin                         2  32  25   1   1   9
 25. DannyM                          1  16  23   1   1   8
 26. digitalMOSQUITO                 1  16  20   1   4   2
 27. Baroje                          1  16  20   1   2   5
