Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( - ) The Brazilian Man              13 125 198  15  20  39
  2. ( +1) Miljenko                       13 125 177  14  23  26
  3. ( +1) Stephan                        13 125 177  14  23  26
  4. ( -2) Ivo                            13 125 176  16  18  29
  5. ( - ) MiniMe                         13 125 171  14  17  32
  6. ( - ) GargoyleBG                     13 125 171  11  21  32
  7. ( - ) Nick the Greek                 13 125 167  16  15  29
  8. ( - ) The Wielder of the Scythe      13 125 165  13  17  31
  9. ( - ) Marc Robbins                   13 125 152  14  12  30
 10. ( - ) Daniel Marsh                   13 125 151  10  15  33
 11. ( - ) Hamish                         12 121 143  11  17  24
 12. ( - ) Steven                          7 104 139  13  15  21
 13. ( - ) AGCM Oracle                    13 125 127   7  11  33
 14. ( - ) Bam Bam                         5  80 106  12   6  20
 15. ( - ) HCwest Pete Fella               6  96 100   6   8  26
 16. ( - ) Eddy da Fisherman               5  80  91   6   7  23
 17. ( - ) Khamelion                      10  92  90   6  10  18
 18. ( - ) Klaa                            7  84  89   8   7  18
 19. ( - ) Nes                             7  66  87   5  11  17
 20. ( - ) Toby Briggs                     8  82  86   7   8  17
 21. ( - ) MrT                             4  64  85   7   9  15
 22. ( - ) Mr. Pink                        5  57  78  10   6  10
 23. ( - ) rsstrnc                         8  45  49   3   7   8
 24. ( - ) Spankin                         2  32  46   3   6   8
 25. ( - ) digitalMOSQUITO                 2  32  40   3   2  11
 26. ( - ) Mark Goodge                     1  16  28   3   2   5
 27. ( - ) Nick Marstin                    7  29  25   2   3   4
 28. ( - ) Baroje                          5  26  24   1   4   4
 29. ( - ) Joy Division                    1  16  22   3   0   5
 30. ( - ) Henning Munk                    1  16  22   0   2   8
 31. ( - ) Mikael Scholer                  1  16  19   1   1   6
 32. ( - ) DannyM                          1  16  19   0   3   5
 33. ( - ) Hagen                           6  21  16   1   2   3
 34. ( - ) Bom Bom                         1   8  14   1   2   2
 35. ( - ) Damian Wood                     1   2   3   0   1   0
 36. ( - ) ~#Bluebird#~                    2   3   2   0   0   1
 37. (new) The Liverbird                   1   1   0   0   0   0
