Pos:  Ch:  Name:                          R: Gm: Pt: 4P: 3P: 2P:
----------------------------------------------------------------
  1. ( - ) Pivotalgubbins                  4  52 103  13   5  18
  2. ( +1) Miljenko                        4  52  89  12   3  16
  3. ( -1) Nick the Greek                  4  52  89   6   9  19
  4. ( +2) Eduardo Liguori                 4  52  86   4  10  20
  5. ( - ) Timofei Shatrov                 4  52  85   6   7  20
  6. ( -2) Diesel                          4  52  83  10   7  11
  7. ( - ) Mark Goodge                     4  52  78   4   8  19
  8. ( +1) Hamish                          4  52  69   4   9  13
  9. ( -1) GargoyleBG                      4  52  67   7   5  12
 10. ( - ) Frank                           3  48  52   1   4  18
 11. ( - ) AGCM Oracle                     4  52  52   1   4  18
 12. ( - ) Millsy                          1  16  22   0   4   5
 13. ( - ) viktorkessler                   1  16  17   2   1   3
 14. ( - ) traveler                        1  16  17   1   1   5
